#Results of heat pump HP2 in year 1
#Name of heat pump: 'WPC 07 / WPC 07 cool'
#Linked bhe to heat pump: 
#1579858938372
#Vdot_soil of each BHE: 
#0.0005056
#Simulated time = 8760 h
#Simulated end time in years = 2 years
#Summed time of this year, when heat pump was shut down because of subsurface boundary condition  = 0 h
#BlockingTime = 0 h
#Second Heat generator on during blocking time = 0 (0 = false; 1 = true)
#operatingMode = 0 (0=monovalent, 1=monoenergetic, 2=bivalent parallel, 3=bivalent teilparallel, 4=bivalent alternativ)
#application range = 2 (0=heating, 1=dhw, 2=heating+dhw, 3=heating+cooling, 4=heating+cooling+dhw, 5=cooling, 6=dhw+cooling)
#heating storage volume = 1000 l, T_st_min = 25 °C, T_st_max = 35 °C, dhw storage volume = 300 l, T_st_min_dhw = 50 °C, T_st_max_dhw = 56 °C
# 
#Run time of heat pump in this year = 1567.25 h
#Middled heating load coverage in this year = 100 %
#Middled dhw load coverage in this year = 100 %
#Middled load coverage (dhw + heating) in this year = 100 %
#Middled coverage ratio heating of heat pump in this year = 100 %
#Middled coverage ratio dhw of heat pump in this year = 100 %
#Middled coverage ratio (heating + dhw) of heat pump in this year = 100 %
#Middled coverage ratio cooling in this year = 0 %
#Middled heating power of heat pump = 9082.33 W
#Middled dhw power of heat pump = 8257.99 W
#Middled soil heat flux to heat pump = 7141.11 W
#Electrical energy demand of soil pump in this year = 109.707 kWh/a
#Seasonal Performance Factor (SPF_WP) in this year (only heat pump) = 5.00992
#Seasonal Performance Factor (SPF_WPA) in this year (heat pump + soil pump + second electric heat generator) = 4.81996
# 
#t = time [s]
#T_s_out = brine temperature out of soil [°C]
#T_crit_s? = Is soil temperature of subsurface model < critical soil temperature? -> 0 = No -> HP = on; 1 = Yes -> HP = off; 
#Q_HL = heating load of all buildings linked to heat pump [W]
#Q_dhw = domestic hot water (dhw) load of all buildings linked to heat pump [W]
#HP_on = Is heat pump on? -> 0 = off; 1 = on
#HP_mode = Mode of heat pump -> 0 = heating; 1 = dhw
#Q_h = heat pump heating power depending on T_s_out [W]
#hLC(t) = heating load coverage of heat pump [%]
#Q_dhw = heat pump dhw power depending on T_s_out [W]
#dhwLC(t) = dhw load coverage of heat pump [%]
#P_el = heat pump electric power depending on T_s_out [W]
#COP* = ratio of heating power and electric power of heat pump in actual mode and time step
#T_st = heating storage temperature in [°C]
#T_st_dhw = domestic hot water (dhw) storage temperature in [°C]
#T_s_in = brine inlet temperature -> into soil [°C]
#dT = temperature difference (T_S_out - T_s_in)  [K]
#hBlock? = Is in this time step a blocking hour of HP? -> 0 = No; 1 = Yes -> HP = off; 
# 
#t:	T_s_out:	T_crit_s?	Q_HL:	Q_dhw:	HP_on:	HP_mode:	Q_h:	hLC(t):	Q_dhw:	dhwLC(t):	P_el:	COP*:	T_st:	T_st_dhw:	T_s_in:	dT:	hBlock?
2714400	9.6	0	2920	0	1	0	9509.62	100	0	100	1569.14	6.0604	26.1	52.1	5.6	4	0
2714460	9.6	0	2920	0	1	0	9509.62	100	0	100	1569.14	6.0604	26.2	52.1	5.6	4	0
2714520	9.6	0	2920	0	1	0	9509.62	100	0	100	1569.14	6.0604	26.3	52.1	5.6	4	0
2714580	9.6	0	2920	0	1	0	9509.62	100	0	100	1569.14	6.0604	26.3	52.1	5.6	4	0
2714640	9.6	0	2920	0	1	0	9509.62	100	0	100	1569.14	6.0604	26.4	52.1	5.6	4	0
2714700	9.6	0	2920	0	1	0	9509.61	100	0	100	1569.14	6.0604	26.5	52.1	5.6	4	0
2714760	9.6	0	2920	0	1	0	9509.61	100	0	100	1569.14	6.0604	26.6	52.1	5.6	4	0
2714820	9.6	0	2920	0	1	0	9509.61	100	0	100	1569.14	6.0604	26.7	52.1	5.6	4	0
2714880	9.6	0	2920	0	1	0	9509.61	100	0	100	1569.14	6.0604	26.8	52.1	5.6	4	0
2714940	9.6	0	2920	0	1	0	9509.61	100	0	100	1569.14	6.0604	26.9	52.1	5.6	4	0
2715000	9.6	0	2920	0	1	0	9509.6	100	0	100	1569.14	6.0604	27	52.1	5.6	4	0
2715060	9.6	0	2920	0	1	0	9509.6	100	0	100	1569.14	6.0604	27.1	52.1	5.6	4	0
2715120	9.6	0	2920	0	1	0	9509.6	100	0	100	1569.14	6.0604	27.2	52.1	5.6	4	0
2715180	9.6	0	2920	0	1	0	9509.6	100	0	100	1569.14	6.0604	27.3	52.1	5.6	4	0
2715240	9.6	0	2920	0	1	0	9509.6	100	0	100	1569.14	6.0604	27.4	52.1	5.6	4	0
2715300	9.6	0	2920	0	1	0	9509.59	100	0	100	1569.14	6.0604	27.5	52.1	5.6	4	0
2715360	9.6	0	2920	0	1	0	9509.59	100	0	100	1569.14	6.0604	27.6	52.1	5.6	4	0
2715420	9.6	0	2920	0	1	0	9509.59	100	0	100	1569.14	6.0604	27.7	52.1	5.6	4	0
2715480	9.6	0	2920	0	1	0	9509.59	100	0	100	1569.14	6.0604	27.8	52.1	5.6	4	0
2715540	9.6	0	2920	0	1	0	9509.59	100	0	100	1569.14	6.0604	27.9	52.1	5.6	4	0
2715600	9.6	0	2920	0	1	0	9509.58	100	0	100	1569.14	6.0604	27.9	52.1	5.6	4	0
2715660	9.6	0	2920	0	1	0	9509.58	100	0	100	1569.14	6.0604	28	52.1	5.6	4	0
2715720	9.6	0	2920	0	1	0	9509.58	100	0	100	1569.14	6.0604	28.1	52.1	5.6	4	0
2715780	9.6	0	2920	0	1	0	9509.58	100	0	100	1569.14	6.0604	28.2	52	5.6	4	0
2715840	9.6	0	2920	0	1	0	9509.58	100	0	100	1569.14	6.0604	28.3	52	5.6	4	0
