#Results of heat pump HP2 in year 2
#Name of heat pump: 'WPC 07 / WPC 07 cool'
#Linked bhe to heat pump: 
#1579858938372
#Vdot_soil of each BHE: 
#0.0005056
#Simulated time = 17520 h
#Simulated end time in years = 2 years
#Summed time of this year, when heat pump was shut down because of subsurface boundary condition  = 0 h
#BlockingTime = 0 h
#Second Heat generator on during blocking time = 0 (0 = false; 1 = true)
#operatingMode = 0 (0=monovalent, 1=monoenergetic, 2=bivalent parallel, 3=bivalent teilparallel, 4=bivalent alternativ)
#application range = 2 (0=heating, 1=dhw, 2=heating+dhw, 3=heating+cooling, 4=heating+cooling+dhw, 5=cooling, 6=dhw+cooling)
#heating storage volume = 1000 l, T_st_min = 25 °C, T_st_max = 35 °C, dhw storage volume = 300 l, T_st_min_dhw = 50 °C, T_st_max_dhw = 56 °C
# 
#Run time of heat pump in this year = 1775.03 h
#Middled heating load coverage in this year = 100 %
#Middled dhw load coverage in this year = 100 %
#Middled load coverage (dhw + heating) in this year = 100 %
#Middled coverage ratio heating of heat pump in this year = 100 %
#Middled coverage ratio dhw of heat pump in this year = 100 %
#Middled coverage ratio (heating + dhw) of heat pump in this year = 100 %
#Middled coverage ratio cooling in this year = 0 %
#Middled heating power of heat pump = 4265.38 W
#Middled dhw power of heat pump = 3857.23 W
#Middled soil heat flux to heat pump = 6104.08 W
#Electrical energy demand of soil pump in this year = 124.252 kWh/a
#Seasonal Performance Factor (SPF_WP) in this year (only heat pump) = 4.44268
#Seasonal Performance Factor (SPF_WPA) in this year (heat pump + soil pump + second electric heat generator) = 4.27358
# 
#t = time [s]
#T_s_out = brine temperature out of soil [°C]
#T_crit_s? = Is soil temperature of subsurface model < critical soil temperature? -> 0 = No -> HP = on; 1 = Yes -> HP = off; 
#Q_HL = heating load of all buildings linked to heat pump [W]
#Q_dhw = domestic hot water (dhw) load of all buildings linked to heat pump [W]
#HP_on = Is heat pump on? -> 0 = off; 1 = on
#HP_mode = Mode of heat pump -> 0 = heating; 1 = dhw
#Q_h = heat pump heating power depending on T_s_out [W]
#hLC(t) = heating load coverage of heat pump [%]
#Q_dhw = heat pump dhw power depending on T_s_out [W]
#dhwLC(t) = dhw load coverage of heat pump [%]
#P_el = heat pump electric power depending on T_s_out [W]
#COP* = ratio of heating power and electric power of heat pump in actual mode and time step
#T_st = heating storage temperature in [°C]
#T_st_dhw = domestic hot water (dhw) storage temperature in [°C]
#T_s_in = brine inlet temperature -> into soil [°C]
#dT = temperature difference (T_S_out - T_s_in)  [K]
#hBlock? = Is in this time step a blocking hour of HP? -> 0 = No; 1 = Yes -> HP = off; 
# 
#t:	T_s_out:	T_crit_s?	Q_HL:	Q_dhw:	HP_on:	HP_mode:	Q_h:	hLC(t):	Q_dhw:	dhwLC(t):	P_el:	COP*:	T_st:	T_st_dhw:	T_s_in:	dT:	hBlock?
34214400	4.6	0	3354	0	0	1	0	100	0	100	0	0	31.4	56.1	4.6	0	0
34214460	4.6	0	3354	0	0	1	0	100	0	100	0	0	31.3	56.1	4.6	0	0
34214520	4.6	0	3354	0	0	1	0	100	0	100	0	0	31.3	56.1	4.6	0	0
34214580	4.6	0	3354	0	0	1	0	100	0	100	0	0	31.2	56.1	4.6	0	0
34214640	4.6	0	3354	0	0	1	0	100	0	100	0	0	31.2	56.1	4.6	0	0
34214700	4.6	0	3354	0	0	1	0	100	0	100	0	0	31.2	56.1	4.6	0	0
34214760	4.6	0	3354	0	0	1	0	100	0	100	0	0	31.1	56.1	4.6	0	0
34214820	4.6	0	3354	0	0	1	0	100	0	100	0	0	31.1	56.1	4.6	0	0
34214880	4.6	0	3354	0	0	1	0	100	0	100	0	0	31	56.1	4.6	0	0
34214940	4.6	0	3354	0	0	1	0	100	0	100	0	0	31	56.1	4.6	0	0
34215000	4.6	0	3354	0	0	1	0	100	0	100	0	0	30.9	56.1	4.6	0	0
34215060	4.6	0	3354	0	0	1	0	100	0	100	0	0	30.9	56	4.6	0	0
34215120	4.6	0	3354	0	0	1	0	100	0	100	0	0	30.8	56	4.6	0	0
34215180	4.6	0	3354	0	0	1	0	100	0	100	0	0	30.8	56	4.6	0	0
34215240	4.6	0	3354	0	0	1	0	100	0	100	0	0	30.7	56	4.6	0	0
34215300	4.6	0	3354	0	0	1	0	100	0	100	0	0	30.7	56	4.6	0	0
34215360	4.6	0	3354	0	0	1	0	100	0	100	0	0	30.6	56	4.6	0	0
34215420	4.6	0	3354	0	0	1	0	100	0	100	0	0	30.6	56	4.6	0	0
34215480	4.6	0	3354	0	0	1	0	100	0	100	0	0	30.5	56	4.6	0	0
34215540	4.6	0	3354	0	0	1	0	100	0	100	0	0	30.5	56	4.6	0	0
34215600	4.6	0	3354	0	0	1	0	100	0	100	0	0	30.4	56	4.6	0	0
34215660	4.6	0	3354	0	0	1	0	100	0	100	0	0	30.4	56	4.6	0	0
34215720	4.6	0	3354	0	0	1	0	100	0	100	0	0	30.3	56	4.6	0	0
34215780	4.6	0	3354	0	0	1	0	100	0	100	0	0	30.3	56	4.6	0	0
34215840	4.6	0	3354	0	0	1	0	100	0	100	0	0	30.2	56	4.6	0	0
34215900	4.6	0	3354	0	0	1	0	100	0	100	0	0	30.2	56	4.6	0	0
34215960	4.6	0	3354	0	0	1	0	100	0	100	0	0	30.1	56	4.6	0	0
34216020	4.6	0	3354	0	0	1	0	100	0	100	0	0	30.1	56	4.6	0	0
34216080	4.6	0	3354	0	0	1	0	100	0	100	0	0	30	56	4.6	0	0
34216140	4.6	0	3354	0	0	1	0	100	0	100	0	0	30	56	4.6	0	0
34216200	4.6	0	3354	0	0	1	0	100	0	100	0	0	29.9	56	4.6	0	0
